## secure-terminal fuzz seed corpus.
##
## One seed per line: NAME<space>HEX. Hex keeps the file pure ASCII, so
## hostile bytes (C1, bidi, zero-width, combining runs) survive review and
## the repo-wide non-ASCII gate.
##
## Two consumers, deliberately sharing one corpus:
##   - .clusterfuzzlite/build.sh explodes it into $OUT/<harness>_seed_corpus.zip
##     so the atheris fuzzers do not cold-start from empty each run.
##   - dist-ai test_fuzz_harnesses.py drives every harness over it on each
##     push, so a harness that raises is caught by the gate, not a nightly.
##
## Each harness reads these bytes through its own FuzzedDataProvider, so one
## seed exercises a different shape in each.

plain-ascii 6c73202d6c610a
alt-screen 1b5b3f31303439681b5b324a6672616d65
alt-screen-split 70616464696e671b5b3f3130
dcs-sixel 1b507123303b323b303b303b301b5c
apc-sos-pm 1b5f6170631b5c1b58736f731b5c1b5e706d1b5c
c1-controls 808182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9f
c0-controls 000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f
cr-bs-edits 6162630d080878797a0a
bidi-override e280ae7061796c6f6164e280ac
zero-width 706179e2808b6c6fefbbbf6164
homoglyph-cyrillic 70d0b0796cd0be7864
zalgo-combining 61cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81
combining-spacing 78e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483e0a483
framer-len-garbage ffffffff41414141414141414141414141414141
framer-truncated 000000104142
framer-zero-len 00000000
config-keyvalue 636f6c6f72733d747275650a6c6f636b3d636f6c6f72732c7475690a23636f6d6d656e740a62726f6b656e0a3d6e6f6e616d650a
session-json 5b7b226e616d65223a2261222c2274657874223a226c315c6e6c32222c227a6f6f6d223a3130307d5d
session-json-bad 7b226e6f74223a2261206c697374227d
hook-rules 626c6f636b207c20726d202d7266202f207c206465737472756374697665207c207573652074726173680a61736b207c20286375726c7c7767657429207c206e65740a626f677573207c20780a
long-line 41414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141
mixed-hostile 1b5b316de280ae726d202d7266202fe2808b1b5b306d0d0865cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81cc81

## ---- seeded FROM THE ADVERSARIAL CORPORA ------------------------------------
## The three sanitizer corpora (dangerous / Trojan-Source / git-diffs-lie) and the
## 22 live terminal-poc-corpus payloads, as fuzz seeds. They were one-shot fixtures:
## each ran through render_output once and was never mutated or combined, so the
## coverage-guided fuzzers started from bytes that had nothing to do with the real
## attacks. stdisplay-tests already seeds its fuzz from dangerous_corpus(); this
## suite claimed to mirror it and the wiring was missing.
##
## build.sh explodes every line here into $OUT/<harness>_seed_corpus.zip, so all
## seven atheris harnesses now START from real attacks and mutate outward -- and
## test_fuzz_harnesses.py drives them over the same seeds on every push.
corpus-dangerous-apc 1b5f7061796c6f61641b5c
corpus-dangerous-arabic-letter-mark 61d89c62
corpus-dangerous-bare-esc 611b62
corpus-dangerous-bell 610762
corpus-dangerous-bom 61efbbbf62
corpus-dangerous-c1-as-unicode 61c29b62
corpus-dangerous-c1-csi 61c29b33316d62
corpus-dangerous-c1-dcs 61c2907061796c6f61641b5c62
corpus-dangerous-c1-nel 61c28562
corpus-dangerous-c1-osc 61c29d303b70776e65640762
corpus-dangerous-charset-g0 1b2830
corpus-dangerous-choseong-filler 6164e1859f6d696e
corpus-dangerous-combining-grapheme-joiner 6164cd8f6d696e
corpus-dangerous-csi-alt-screen 1b5b3f3130343968
corpus-dangerous-csi-clear-screen 1b5b324a
corpus-dangerous-csi-cursor-home 1b5b48
corpus-dangerous-csi-cursor-pos 1b5b353b3948
corpus-dangerous-csi-cursor-up 1b5b313041
corpus-dangerous-csi-da 1b5b63
corpus-dangerous-csi-dsr 1b5b366e
corpus-dangerous-csi-erase-line 1b5b324b
corpus-dangerous-csi-hide-cursor 1b5b3f32356c
corpus-dangerous-csi-mouse-on 1b5b3f3130303068
corpus-dangerous-csi-private 1b5b3e343b326d
corpus-dangerous-dcs 1b50303b317c31372f61621b5c
corpus-dangerous-del 617f62
corpus-dangerous-formfeed 610c62
corpus-dangerous-hangul-filler 6164e385a46d696e
corpus-dangerous-homoglyph 70d0b07970616c
corpus-dangerous-invisible-separator 61e281a362
corpus-dangerous-invisible-times 61e281a262
corpus-dangerous-line-sep 61e280a862
corpus-dangerous-lri 61e281a662
corpus-dangerous-mongolian-vowel-sep 61e1a08e62
corpus-dangerous-nul 610062
corpus-dangerous-osc-title-bel 1b5d303b70776e656407
corpus-dangerous-osc-title-st 1b5d303b70776e65641b5c
corpus-dangerous-osc52-clipboard 1b5d35323b633b63474635624739685a413d3d07
corpus-dangerous-osc8-hyperlink 1b5d383b3b687474703a2f2f6576696c1b5c6c696e6b1b5d383b3b1b5c
corpus-dangerous-para-sep 61e280a962
corpus-dangerous-pm 1b5e6d6573736167651b5c
corpus-dangerous-ris-reset 1b63
corpus-dangerous-rlo 61e280ae62
corpus-dangerous-vs16-variation-selector 6164efb88f6d696e
corpus-dangerous-vtab 610b62
corpus-dangerous-zwnj 61e2808c62
corpus-dangerous-zwsp 61e2808b62
corpus-trojan-commenting-out 6163636573735f6c6576656c203d202275736572e280ae20e281a62f2f20436865636b2069662061646d696ee281a920e281a622e281a93b
corpus-trojan-early-return 202020202f2a205361792068656c6c6f3b206e65776c696e65e281a7202f2a2f2072657475726e2030203b
corpus-trojan-homoglyph 6465662069735f61646d696e28293a2072657475726e207366655f6dd0be64652829
corpus-trojan-invisible 6973e2808d61646d696e203d2054727565
corpus-trojan-stretched-string 6966206163636573735f6c6576656c20213d202275736572e281a62061646d696ee281a9223a
corpus-gdl-ansi-escape 5354415455533d4641494c1b5b31411b5b324b5354415455533d504153530a
corpus-gdl-bidi-trojan-source 23696e636c756465203c737464696f2e683e0a0a636f6e73742063686172202a6163636573735f6c6576656c28696e742061646d696e29207b0a2020202f2a2072657475726e20e280ae6e696d6461e280ac202a2f2072657475726e2061646d696e203f20227573657222203a202261646d696e223b0a7d0a
corpus-gdl-homoglyph-identifier 23696e636c756465203c737464696f2e683e0a0a696e74206d61696e28766f696429207b0a20202072657475726e2076d0b06c69646174652822726f6c6522293b0a7d0a
corpus-gdl-invalid-utf8 636865636b73756d3dfffe206e6f742076616c6964207574662d380a
corpus-gdl-lone-cr 44454c4554455f45564552595448494e473d7965730d44454c4554455f45564552595448494e473d6e6f0a
corpus-gdl-nul-byte 6265666f72650061667465720a
